1;0;-3.3310025;-20.019588;false;0;50;50;212;7078.0;-3.291380059683E12
2;0;21.713175;33.46429;false;25;74;0;147;6659.0;-3.291380075516E12
3;0;31.262749;23.139343;false;25;145;0;213;6996.0;-3.29138007704E12
4;0;32.32463;-0.1409685;false;25;0;0;4;5332.0;-3.291380024245E12
5;0;155.81975;-5.3344474;false;24;0;0;11;7226.0;-3.291380074098E12
6;0;-152.71365;6.6664076;true;21;0;0;24;6804.0;-3.291380065017E12
7;0;-68.55201;-11.8405075;false;24;0;0;54;6771.0;-3.291380073703E12
8;0;136.24379;-3.6162026;true;24;0;0;42;6845.0;-3.291380070989E12
9;0;-79.00518;-9.34349;false;24;0;0;19;7940.0;-3.291380074303E12
10;0;0.0;8.3171835;true;5;0;0;14;6444.0;-3.291380018367E12
11;0;-0.81526625;-23.6381;false;24;0;0;0;0.0;0.0
12;0;-8.697936;-24.778131;false;24;0;0;65;6505.0;-3.291380073813E12
13;0;52.066254;-3.675315;false;24;0;0;7;7391.0;-3.291380024168E12
1;0;8.738891;-0.57702446;false;0;50;50;155;6899.0;-3.291380809569E12
2;0;-0.010807753;27.762545;false;25;181;0;167;7493.0;-3.291380816086E12
3;0;7.2118363;41.20584;false;25;48;0;183;7179.0;-3.291380822597E12
4;0;28.319838;-29.14955;false;25;0;0;6;6719.0;-3.2913807658E12
5;0;-24.192781;-0.410707;false;24;0;0;58;6434.0;-3.29138082267E12
6;0;100.39703;0.99210334;false;24;0;0;6;6830.0;-3.2913807699E12
7;0;-166.32784;-46.581924;true;24;0;0;28;6203.0;-3.291380820174E12
8;0;121.21146;31.914251;false;24;0;0;84;6606.0;-3.291380818133E12
9;0;3.4401357;0.88308334;false;24;0;0;46;6852.0;-3.291380815509E12
10;0;2.1940358;21.281973;false;24;0;0;21;6634.0;-3.291380818745E12
11;0;16.893707;-11.026077;false;24;0;0;6;6732.0;-3.291380769559E12
12;0;-43.222458;-1.5845014;true;12;0;0;18;6164.0;-3.291380778971E12
13;0;-0.8019333;-0.17499036;false;24;0;0;28;5751.0;-3.291380808308E12
1;0;-90.75128;-0.99407524;false;0;34;34;111;6740.0;-3.291382422329E12
2;0;-56.547718;-1.4841145;true;9;27;0;13;6533.0;-3.29138239349E12
3;0;3.2928023;17.781898;false;25;165;0;297;7232.0;-3.2913824411E12
4;0;-0.0;-41.822014;false;25;0;0;8;6435.0;-3.291382409022E12
6;0;8.040466;18.352806;false;24;0;0;41;6830.0;-3.291382438782E12
7;0;-4.381506;-16.455685;true;24;0;0;41;5602.0;-3.29138244323E12
8;0;13.88079;-1.7300587;false;24;0;0;31;6619.0;-3.291382436019E12
9;0;-60.325203;21.562529;false;9;0;0;2;4351.0;-3.291382376166E12
10;0;-50.286446;-8.559928;false;9;0;0;14;7320.0;-3.291382389064E12
11;0;99.1102;-3.2524776;false;24;0;0;23;6743.0;-3.291382429743E12
12;0;-78.43087;-0.0;false;9;0;0;4;4528.0;-3.291382386452E12
13;0;30.026173;-28.190565;false;24;0;0;5;7263.0;-3.291382391827E12
